============================
Extracted from MAST-U Session Logs server mysql database 26JUL18
server: drupal-internal.mastu.apps.l
database: localhost 3306 int_7_0
============================
SELECT convert(n.title, unsigned integer) AS shotnum,
u.field_shot_useful_value AS useful,
t.field_shot_type_value AS shot_type,
pre.field_shot_preshot_value AS preshot,
post.field_shot_postshot_value AS postshot,
s.field_shot_physics_shape_value AS plasma_shape,
i.field_shot_physics_ip_range_value AS ip_range,
h.field_shot_physics_heating_value AS heating,
c.field_shot_physics_div_config_value AS divertor_config,
tid_rmp.name AS rmptype,
tid_sc.name AS scenario,
tid_p.name AS pellets
FROM node n
LEFT JOIN int_7_0.field_data_field_shot_useful u ON u.entity_id=n.nid
LEFT JOIN int_7_0.field_data_field_shot_type t ON t.entity_id=n.nid
LEFT JOIN int_7_0.field_data_field_shot_preshot pre ON pre.entity_id=n.nid
LEFT JOIN int_7_0.field_data_field_shot_postshot post ON post.entity_id=n.nid
LEFT JOIN int_7_0.field_data_field_shot_physics_shape s ON s.entity_id=n.nid
LEFT JOIN int_7_0.field_data_field_shot_physics_ip_range i ON i.entity_id=n.nid
LEFT JOIN int_7_0.field_data_field_shot_physics_heating h ON h.entity_id=n.nid
LEFT JOIN int_7_0.field_data_field_shot_physics_div_config c ON c.entity_id=n.nid
LEFT JOIN int_7_0.field_data_field_shot_phys_rmp_coils rmp ON rmp.entity_id=n.nid
LEFT JOIN int_7_0.taxonomy_term_data tid_rmp ON tid_rmp.tid=rmp.field_shot_phys_rmp_coils_tid
LEFT JOIN int_7_0.field_data_field_shot_scenario sc ON sc.entity_id=n.nid
LEFT JOIN int_7_0.taxonomy_term_data tid_sc ON tid_sc.tid=sc.field_shot_scenario_tid
LEFT JOIN int_7_0.field_data_field_shot_phys_pellets p ON p.entity_id=n.nid
LEFT JOIN int_7_0.taxonomy_term_data tid_p ON tid_p.tid=p.field_shot_phys_pellets_tid
WHERE convert(n.title, unsigned integer)>=29737 AND convert(n.title, unsigned integer)<=30023;
============================

shotnum,useful,shot_type,preshot,postshot,plasma_shape,ip_range,heating,divertor_config,rmptype,scenario,pellets
29737,Yes,Physics, Repeat ," Good beams. Start at 150ms - ANB trace shows late (starts at 1 second), but this is not the case ELM mitigation seen - just. ELM frequency 42 Hz. No splitting seen on IR, but lobes seen. ",Lower Single Null,400 kA,SS Beam,Conventional,25,S8,No
29738,Yes,Physics, Repeat with outer radius increased by 2cm. , ELM frequency slightly higher ~50 Hz. Some splitting seen. ,Lower Single Null,400 kA,SS Beam,Conventional,25,S8,No
29739,No,Physics, Repeat adding current in supplies A and D to increase total applied field , ELM frequency ~ 70Hz Mitigation seen along with strike point splitting. ,,400 kA,SS Beam,Conventional,,S8,No
29740,No,Physics, Repeat last shot to get all coils. ,  ,,,Ohmic,Conventional,,S8,No
29741,No,Physics, Repeat after abort , No Beam ,,400 kA,Ohmic,Conventional,,S8,No
29742,No,Physics, Repeat to get ELM coils and beam. South unavailable - switch to SW. , Good beams and shot. H mode from 320 ms ,,400 kA,SW Beam,Conventional,,S8,No
29743,No,Physics, repeat to get ELM PSUs    , SW started at 220 ms - no ELM psus ,,400 kA,SW Beam,Conventional,,S8,No
29744,No,Physics, repeat to get ELM coils PSUs , Aborted ,,,Ohmic,Conventional,,S8,No
29745,No,Physics, repeat  , repeat abort ,,,Ohmic,Conventional,,S8,No
29746,Yes,Physics, repeat  , SW at 180 ms - causes back transition H-mode reestablished at 520 ms - all ELM PSUS fired - need to repeat with second beam ,Lower Single Null,400 kA,SW Beam,Conventional,25,S8,No
29747,No,Physics, Restore from prepared set up hmeyer T&C-006_S2_600kA Restore 29090 ZREF and scale (1.1*Zold-0.5) Adjust ECEL_MOD to give puff at 350ms. cHFS filled to 207 mbar cHFS waveform set and enabled. ECELESTE 830 mm ," First use of cHFS puts in a large amount of gas at 100ms.  Poor shot. Terminates at 350ms, no H mode. ",,700 kA,SW Beam,Conventional,,S6,No
29748,No,Physics, Repeat to get better cHFS ECELESTE at 800 mm (move away) Adjust FLOWREF prefill and flow to give better density match cHFS 216 mbar. , Same as previous. Some other fault with this shot. ,,700 kA,SW Beam,Conventional,,S6,No
29749,No,Physics, Repeat with lower fill pressure. , Density OK. Matches to 29090 prior to H mode phase. Z position higher than 29699 which went into good H mode. Try changing this. ,,700 kA,SW Beam,Conventional,,S6,No
29750,No,Physics, Repeat with Z ref restored from 29699 Run cHFS at 125 mbar. , Dithering H mode at 0.15 to 0.250. Looking for good H mode. ,,700 kA,SW Beam,Conventional,,S6,No
29751,No,Physics, Repeat with more gas as last underdense cHFS 158 mbar. , Improved H mode but still dithery. Z ref could be a little low. ,,700 kA,SW Beam,Conventional,,S6,No
29752,Yes,Physics, Increase Z ref by 0.5 cm. Restore GAS category from 29699. cHFS 164 mbar. ," Good shot, 450 ms duration. H mode from 150ms to end of shot. Change of GAS category reduces recycling compared to previous shot. ",Connected Double Null,700 kA,SW Beam,Conventional,No,S6,No
29753,Yes,Physics, Restore GAS from 29751. Enable ECELESTE from 281 to 351 ms. cHFS 168 mbar. ," Good - H mode from 120ms, with well spaced ELMs. Disrupts at 350ms ",Connected Double Null,700 kA,SW Beam,Conventional,No,S6,No
29754,Yes,Physics, Restore 29591. SW 150ms - select beam cHFS 171 mbar. Add ECELESTE at 300ms for 30ms. ," Good shot. H mode from 200ms, disrupts at 350ms. ",Connected Double Null,1000 kA,SW Beam,Conventional,No,S5,No
29755,No,Physics," Restore 29746. I(RMP) = 1.3kA in A to D. SW 150ms, SW 200. Select South.  ",  ,,,Ohmic,Conventional,,S8,No
29756,No,Physics, Repeat after abort ,  ,,,Ohmic,Conventional,,S8,No
29757,No,Physics, Repeat after aborts ,  ,,,Ohmic,Conventional,,S8,No
29758,Yes,Physics, Repeat ," Multiple back transitions ELM mitigation seen - lower current for the next repeat of this shot. Breakdowns on both beams, probably due to multiple aborts. ",Lower Single Null,400 kA,"2 Beams,SS Beam,SW Beam",Conventional,25,S8,No
29759,No,Physics, Restore LFS fuelled scenario 6 28823 Set South 50ms start.  Convert to density f/b at 100ms - match density reference to 29469. Increase Zref to 2cm. ," Runs on centre column for a long period. Terminates at 350ms. EFCC 0511 over current. FA2 not enabled. Locked mode present, locking at 0.3 s ",,700 kA,SS Beam,Conventional,,S6,No
29760,No,Physics, Enable FA2 Increase r outer by 2 cm to pull off centre column Limit AFPS to 1.2kA to decrease overcurrent in EFCC 0511 Improve density reference waveform match. ,  ,,,Ohmic,Conventional,,S6,No
29761,Yes,Physics, Repeat after abort , Improved density match and duration now 360ms. ,Connected Double Null,700 kA,SS Beam,Conventional,No,S6,No
29762,Yes,Physics," Restore 29754. cHFS 174 mbar S 150ms, SW 170 ms. ECELESTE puff strength decreased by half compared to reference. "," Good shot for experiment with lots of ELMs. A little short however, disrupts 350ms. H mode from 200ms onwards. ECELESTE puff too small for data - need more than 2.5V drive.  ",Connected Double Null,1000 kA,"2 Beams,SS Beam,SW Beam",Conventional,No,S5,No
29763,Yes,Physics, Restore 29761. Set South to start 50ms. , Good repeat. ,Connected Double Null,700 kA,SS Beam,Conventional,No,S6,No
29764,Yes,Physics, Repeat last with changes to DBS settings. , Good shot. Well matched to reference in density. ,Connected Double Null,700 kA,SS Beam,Conventional,No,S6,No
29765,Yes,Physics, Restore TF test shot. , OK ,Connected Double Null,,Ohmic,Conventional,No,,No
29766,Yes,Physics, Restore standard PF test. Enable cHFS gas and 5V waveform for 200ms. Add 0.1kA in ELM coils 300-400ms. , ? ,Connected Double Null,,Ohmic,Conventional,No,,No
29767,No,Physics, Scenario 1 with South beam blips. , No blips. ,,400 kA,SS Beam,Conventional,,S1,No
29768,Yes,Physics, Restore 29758. , Good beams. Good mitigation from 350ms. ,Lower Single Null,400 kA,"2 Beams,SS Beam,SW Beam",Conventional,26,S8,No
29769,No,Physics, Increase outer radius from 1.38 to 1.40m to increase ELM coil effect on plasma. , No south beam. ,,400 kA,SW Beam,Conventional,,S8,No
29770,No,Physics, Repeat for two beams. , abort. ,,,Ohmic,Conventional,,S8,No
29771,Yes,Physics, Repeat  29768 for two beams. , Good shot. Excellent mitigation. f_elm increases by a factor of 2. ,Lower Single Null,400 kA,"2 Beams,SS Beam,SW Beam",Conventional,26,S8,No
